"","true.mu","psi.true","misse","mean_turnover_error","median_turnover_error","var_turnover","mean_eps_error","median_eps_error","var_eps","mean_netdiv_error","median_netdiv_error","var_netdiv","m_prop_median","m_median","k_prop_median","k_median","mean.psi.error","median.psi.error","var.psi"
"21",0.2,0.05,"extant",0.0607212059297221,0.0796120393662376,0.0194924950058621,0.0304294968529155,0.067817251787723,0.021056112715136,-0.0057605475482198,-0.0119696225016328,0.00165240814592544,NA,NA,NA,NA,-0.05,-0.05,0
"22",0.2,0.05,"full_k",0.0337306556252482,0.035816405752358,0.00759539785299226,0.0199988765743037,0.0278941327201855,0.0076839201145865,-0.00230304515712354,-0.00472146494914705,0.000987525529719843,0.0654014118210098,13,1,34,-0.00226477858506977,-0.0023043498008078,5.26479112037722e-05
"23",0.2,0.05,"half_k",0.151539672062479,0.138989925228424,0.00960266957982082,0.120331559491997,0.131506898866871,0.00619578216825378,-0.0262864138123842,-0.0299773983729101,0.000928958374176871,0.0654014118210098,13,0.5,17,-0.0230842894110973,-0.0234681085989239,1.54524082400553e-05
"24",0.2,0.05,"strat_int",-0.0516710626841731,-0.0475732641312585,0.00669519597410849,-0.0669885841125007,-0.0613238122589745,0.00867173628228629,0.0142221164757755,0.0123154538879692,0.000933718909967135,0.0654014118210098,13,0.918918918918919,31,0.00416849033876467,0.0043232122291042,7.74381170788852e-05
"25",0.2,0.05,"zero_k",0.325787675830875,0.329311346229396,0.0135223674013561,0.225832178585361,0.237908372929186,0.00475283443419506,-0.055494635447805,-0.0593059571263121,0.00085939196885094,0.0654014118210098,13,0,0,-0.0401263860594048,-0.0404653068822481,8.17227766196691e-06
"26",0.2,0.1,"extant",0.0234809697833592,0.0198482533906105,0.0163643362777233,0.0109712705972925,0.019280312173981,0.0185015301105782,-0.00572325471421742,-0.00316262788107373,0.00131146442438467,NA,NA,NA,NA,-0.1,-0.1,0
"27",0.2,0.1,"full_k",0.00891336454073714,0.00297998140661648,0.00490926821856721,0.0133802948736808,0.0128256287324855,0.00464468435602723,-0.00557098987388269,-0.00617286516172098,0.000648222803881323,0.127509032517061,25.5,1,73,-0.00117563832167226,-0.00103882586135001,0.000137817878281736
"28",0.2,0.1,"half_k",0.153841397759074,0.13730118781739,0.00775550307512371,0.135893883152324,0.138065817432542,0.004086820705517,-0.0339397267658092,-0.0344381230573501,0.000630612178486009,0.127509032517061,25.5,0.5,36,-0.0464428055564054,-0.046682858373172,3.66728510425566e-05
"29",0.2,0.1,"strat_int",-0.0853080715671595,-0.08941466379295,0.00305978622408874,-0.0837111917631725,-0.0829092867170515,0.00383094006488999,0.0113085714719075,0.00869364579515723,0.000593069336770223,0.127509032517061,25.5,0.860935302390999,62,0.0157904953712155,0.0146483678348805,0.000194940208248082
"30",0.2,0.1,"zero_k",0.449328437515321,0.436215549091065,0.0143964586488317,0.287256199122712,0.290445651564385,0.00261974848301987,-0.0771133241757332,-0.0795505090230232,0.000569914329079845,0.127509032517061,25.5,0,0,-0.0835182433762605,-0.0836815607127512,7.71705905498194e-06
"31",0.3,0.01,"extant",0.0578282088881065,0.0564773100957126,0.00967606629458206,0.0154586420655703,0.0199455933853415,0.0063873953525632,-0.00141518989313393,-0.00226462563807459,0.000896013482167321,NA,NA,NA,NA,-0.01,-0.01,0
"32",0.3,0.01,"full_k",0.0482603413087362,0.0357617799135101,0.0104802241662651,0.0127282529894618,0.0314917810394065,0.00647565460051392,-0.00156704508274108,-0.00455828297173649,0.000844660816231399,0.0160015580239787,9,1,9.5,-0.00045124250943976,-0.000673725549079,8.69583163944028e-06
"33",0.3,0.01,"half_k",0.102167432377581,0.100888593099406,0.0101037153776175,0.0421986732227071,0.054333620903064,0.00537259424267624,-0.00896462105108551,-0.00912328263617954,0.000802303358368785,0.0160015580239787,9,0.5,4.5,-0.0034064980570628,-0.00357360471513627,3.3921870188059e-06
"34",0.3,0.01,"strat_int",-0.0198004237936492,-0.00771994257964698,0.01122509953121,-0.0273339997278963,-0.019773559441944,0.00807642847986881,0.00670319015877634,0.00492818667556878,0.000900617250745692,0.0160015580239787,9,1,9,0.000577388027907069,0.000235613598710749,1.26134244945402e-05
"35",0.3,0.01,"zero_k",0.161939997479169,0.158959356963071,0.0101189476865177,0.0696672944405363,0.0772117282757495,0.0045395258125321,-0.0163881329770398,-0.0167483140863675,0.000766228979726655,0.0160015580239787,9,0,0,-0.00601954069196034,-0.00604991642220002,1.78282749556381e-06
"36",0.3,0.05,"extant",0.0546698906674645,0.0435037794158266,0.0119979395779885,0.0129293477320298,0.0247511009157715,0.00531828625881123,-0.00106046993837335,-0.00351301230459541,0.000640525456569423,NA,NA,NA,NA,-0.05,-0.05,0
"37",0.3,0.05,"full_k",0.0321075185797075,0.036078388596237,0.00566868646590007,0.0137095138618582,0.0204223118633615,0.00294149803196487,-0.00262343531159168,-0.00573627988798067,0.000463090171110996,0.0762948443810881,44,1,50,-0.00139405933953442,-0.00214586733874365,4.11380305638754e-05
"38",0.3,0.05,"half_k",0.191657178824811,0.191376243701615,0.00707704061368977,0.0865792401218194,0.090032269840526,0.00187838156723398,-0.0213697969534493,-0.0233658184543566,0.000385734889593274,0.0762948443810881,44,0.5,25,-0.0206908996071307,-0.0209552459427435,1.129630068783e-05
"39",0.3,0.05,"strat_int",-0.132080276817942,-0.141235744632185,0.00420016445534422,-0.0929136379205235,-0.08574567632464,0.00335080489059577,0.017084548739143,0.0160203048987847,0.000467743400330846,0.0762948443810881,44,0.912662090007628,46,0.0122878675936895,0.0124390919249326,8.46793061111187e-05
"40",0.3,0.05,"zero_k",0.439858248350064,0.43162188498023,0.0116172052392892,0.152161524088986,0.155935284618912,0.00107531667345512,-0.0423148744759116,-0.0431279096430657,0.000307401132982631,0.0762948443810881,44,0,0,-0.0358548627654314,-0.0359569539212476,3.9964836446623e-06
"41",0.3,0.1,"extant",0.0763500953014215,0.0772569556650016,0.0138068484640932,0.0162140359586839,0.037084890069115,0.0083801224066425,-0.000493946264795204,-0.00727703561060028,0.000945094046065438,NA,NA,NA,NA,-0.1,-0.1,0
"42",0.3,0.1,"full_k",0.0334350285154553,0.0308128338243515,0.00474408033440815,0.00610075329646194,0.014856201441922,0.00353011110098975,0.00140068626626105,-0.00355486579386652,0.000587935081503492,0.140326780976011,78.5,1,107,-0.00204975929971712,-0.00138116403634841,8.38021155117879e-05
"43",0.3,0.1,"half_k",0.24630219293342,0.246670421877681,0.00810508771598033,0.0963500912161675,0.107696695320064,0.00239035288001526,-0.0221574277560066,-0.0274708600798524,0.000494107629407808,0.140326780976011,78.5,0.5,54,-0.0451630096614301,-0.0455290910563671,2.14931946717383e-05
"44",0.3,0.1,"strat_int",-0.140343981767564,-0.139705126970989,0.00274376128359262,-0.105472472346454,-0.095336863859865,0.00397556125554987,0.0211072062944924,0.018957654314943,0.000615163646006567,0.140326780976011,78.5,0.848214285714286,91.5,0.0281344745345344,0.027096876139871,0.000174950787253259
"45",0.3,0.1,"zero_k",0.704161544168561,0.718766816577265,0.0195362151834432,0.183269586141656,0.190620268187233,0.0010657437755848,-0.0530378739682044,-0.0562556848737888,0.000360432114458884,0.140326780976011,78.5,0,0,-0.0788820680905807,-0.0789849342962371,3.070304916993e-06
