mu	lambda	eps	turnover	netdiv	psi	ntip	m.type	k.type	k.ratio
0.026086957	0.173913043	0.15	0.2	0.147826087	0.01	200	0	11	1
0.026086957	0.173913043	0.15	0.2	0.147826087	0.01	200	1	13	0.928571429
0.026086957	0.173913043	0.15	0.2	0.147826087	0.01	200	0	18	1
0.026086957	0.173913043	0.15	0.2	0.147826087	0.01	200	0	8	1
0.026086957	0.173913043	0.15	0.2	0.147826087	0.01	200	0	10	1
0.039130435	0.260869565	0.15	0.3	0.22173913	0.01	200	2	6	0.75
0.039130435	0.260869565	0.15	0.3	0.22173913	0.01	200	1	15	0.9375
0.039130435	0.260869565	0.15	0.3	0.22173913	0.01	200	0	10	1
0.039130435	0.260869565	0.15	0.3	0.22173913	0.01	200	1	10	0.909090909
0.039130435	0.260869565	0.15	0.3	0.22173913	0.01	200	1	8	0.888888889
0.039130435	0.260869565	0.15	0.3	0.22173913	0.01	200	0	4	1
0.039130435	0.260869565	0.15	0.3	0.22173913	0.01	200	0	9	1
0.039130435	0.260869565	0.15	0.3	0.22173913	0.01	200	2	2	0.5
0.039130435	0.260869565	0.15	0.3	0.22173913	0.01	200	1	2	0.666666667
0.039130435	0.260869565	0.15	0.3	0.22173913	0.01	200	1	6	0.857142857
0.039130435	0.260869565	0.15	0.3	0.22173913	0.01	200	0	8	1
0.039130435	0.260869565	0.15	0.3	0.22173913	0.01	200	1	8	0.888888889
0.039130435	0.260869565	0.15	0.3	0.22173913	0.01	200	1	7	0.875
0.039130435	0.260869565	0.15	0.3	0.22173913	0.01	200	3	13	0.8125
0.039130435	0.260869565	0.15	0.3	0.22173913	0.01	200	1	10	0.909090909
0.039130435	0.260869565	0.15	0.3	0.22173913	0.01	200	1	10	0.909090909
0.039130435	0.260869565	0.15	0.3	0.22173913	0.01	200	0	9	1
0.039130435	0.260869565	0.15	0.3	0.22173913	0.01	200	0	4	1
0.039130435	0.260869565	0.15	0.3	0.22173913	0.01	200	2	7	0.777777778
0.039130435	0.260869565	0.15	0.3	0.22173913	0.01	200	1	8	0.888888889
0.052173913	0.347826087	0.15	0.4	0.295652174	0.01	200	0	5	1
0.052173913	0.347826087	0.15	0.4	0.295652174	0.01	200	0	5	1
0.052173913	0.347826087	0.15	0.4	0.295652174	0.01	200	1	9	0.9
0.052173913	0.347826087	0.15	0.4	0.295652174	0.01	200	0	5	1
0.052173913	0.347826087	0.15	0.4	0.295652174	0.01	200	0	5	1
0.052173913	0.347826087	0.15	0.4	0.295652174	0.01	200	1	7	0.875
0.052173913	0.347826087	0.15	0.4	0.295652174	0.01	200	1	8	0.888888889
0.052173913	0.347826087	0.15	0.4	0.295652174	0.01	200	0	6	1
0.052173913	0.347826087	0.15	0.4	0.295652174	0.01	200	1	5	0.833333333
0.052173913	0.347826087	0.15	0.4	0.295652174	0.01	200	0	7	1
0.052173913	0.347826087	0.15	0.4	0.295652174	0.01	200	0	7	1
0.052173913	0.347826087	0.15	0.4	0.295652174	0.01	200	0	10	1
0.052173913	0.347826087	0.15	0.4	0.295652174	0.01	200	0	10	1
0.052173913	0.347826087	0.15	0.4	0.295652174	0.01	200	1	3	0.75
0.052173913	0.347826087	0.15	0.4	0.295652174	0.01	200	0	8	1
0.052173913	0.347826087	0.15	0.4	0.295652174	0.01	200	3	8	0.727272727
